S.No.,Description,Sub Class,Class,Group,Division,Section
1166,"Services related to renting other tangible goods with out operator (includes renting containers, pallets, animals etc.)",77308,7730,773,Rental and leasing activities,Administrative and support service activities
1167,Renting and leasing of other machinery and equipment n.e.c. without operator,77309,7730,773,Rental and leasing activities,Administrative and support service activities
1167,Renting and leasing other machinery and equipment n.e.c. without operator related business activity,77309,7730,773,Rental and leasing activities,Administrative and support service activities
1167,Services related to renting and leasing other machinery and equipment n.e.c. without operator,77309,7730,773,Rental and leasing activities,Administrative and support service activities
1168,Leasing of nonfinancial intangible assets,77400,7740,774,Rental and leasing activities,Administrative and support service activities
1168,Leasing nonfinancial intangible assets related business activity,77400,7740,774,Rental and leasing activities,Administrative and support service activities
1168,Services related to leasing nonfinancial intangible assets,77400,7740,774,Rental and leasing activities,Administrative and support service activities
1169,Activities of employment placement agencies,78100,7810,781,Employment activities,Administrative and support service activities
1169,Employment placement agencies related business activity,78100,7810,781,Employment activities,Administrative and support service activities
1169,Services related to employment placement agencies,78100,7810,781,Employment activities,Administrative and support service activities
1170,Temporary employment agency activities,78200,7820,782,Employment activities,Administrative and support service activities
1170,Temporary employment agency activities related business activity,78200,7820,782,Employment activities,Administrative and support service activities
1170,Services related to temporary employment agency activities,78200,7820,782,Employment activities,Administrative and support service activities
1171,Human resources provision and management of human resources functions,78300,7830,783,Employment activities,Administrative and support service activities
1171,Human resources provision and management human resources functions related business activity,78300,7830,783,Employment activities,Administrative and support service activities
1171,Services related to human resources provision and management human resources functions,78300,7830,783,Employment activities,Administrative and support service activities
1172,Travel agency activities,79110,7911,791,"Travel agency, tour operator and other reservation service activities",Administrative and support service activities
1172,Travel agency activities related business activity,79110,7911,791,"Travel agency, tour operator and other reservation service activities",Administrative and support service activities
1172,Services related to travel agency activities,79110,7911,791,"Travel agency, tour operator and other reservation service activities",Administrative and support service activities
1173,Tour operator activities,79120,7912,791,"Travel agency, tour operator and other reservation service activities",Administrative and support service activities
1173,Tour operator activities related business activity,79120,7912,791,"Travel agency, tour operator and other reservation service activities",Administrative and support service activities
1173,Services related to tour operator activities,79120,7912,791,"Travel agency, tour operator and other reservation service activities",Administrative and support service activities
1174,Other reservation service and related activities,79900,7990,799,"Travel agency, tour operator and other reservation service activities",Administrative and support service activities
1174,Other reservation service and related activities related business activity,79900,7990,799,"Travel agency, tour operator and other reservation service activities",Administrative and support service activities
1174,Services related to other reservation service and related activities,79900,7990,799,"Travel agency, tour operator and other reservation service activities",Administrative and support service activities
1175,Private security activities,80100,8010,801,Security and investigation activities,Administrative and support service activities
1175,Private security activities related business activity,80100,8010,801,Security and investigation activities,Administrative and support service activities
1175,Services related to private security activities,80100,8010,801,Security and investigation activities,Administrative and support service activities
1176,Security systems service activities,80200,8020,802,Security and investigation activities,Administrative and support service activities
1176,Security systems service activities related business activity,80200,8020,802,Security and investigation activities,Administrative and support service activities
1176,Services related to security systems service activities,80200,8020,802,Security and investigation activities,Administrative and support service activities
1177,Investigation activities,80300,8030,803,Security and investigation activities,Administrative and support service activities
1177,Investigation activities related business activity,80300,8030,803,Security and investigation activities,Administrative and support service activities
1177,Services related to investigation activities,80300,8030,803,Security and investigation activities,Administrative and support service activities
1178,General cleaning of buildings,81210,8121,812,Services to buildings and landscape activities,Administrative and support service activities
1178,General cleaning buildings related business activity,81210,8121,812,Services to buildings and landscape activities,Administrative and support service activities
1178,Services related to general cleaning buildings,81210,8121,812,Services to buildings and landscape activities,Administrative and support service activities
1179,"Cleaning of trains buses, planes etc.",81291,8129,812,Services to buildings and landscape activities,Administrative and support service activities
1179,"Cleaning trains buses, planes etc. related business activity",81291,8129,812,Services to buildings and landscape activities,Administrative and support service activities
1179,"Services related to cleaning trains buses, planes etc.",81291,8129,812,Services to buildings and landscape activities,Administrative and support service activities
1180,Cleaning of industrial machinery,81292,8129,812,Services to buildings and landscape activities,Administrative and support service activities
1180,Cleaning industrial machinery related business activity,81292,8129,812,Services to buildings and landscape activities,Administrative and support service activities
1180,Services related to cleaning industrial machinery,81292,8129,812,Services to buildings and landscape activities,Administrative and support service activities
1181,Other building and industrial cleaning activities,81299,8129,812,Services to buildings and landscape activities,Administrative and support service activities
1181,Other building and industrial cleaning activities related business activity,81299,8129,812,Services to buildings and landscape activities,Administrative and support service activities
1181,Services related to other building and industrial cleaning activities,81299,8129,812,Services to buildings and landscape activities,Administrative and support service activities
1182,Landscape care and maintenance service activities,81300,8130,813,Services to buildings and landscape activities,Administrative and support service activities
1182,Landscape care and maintenance service activities related business activity,81300,8130,813,Services to buildings and landscape activities,Administrative and support service activities
1182,Services related to landscape care and maintenance service activities,81300,8130,813,Services to buildings and landscape activities,Administrative and support service activities
1183,Combined office administrative service activities,82110,8211,821,"Office administrative, office support and other business support activities",Administrative and support service activities
1183,Combined office administrative service activities related business activity,82110,8211,821,"Office administrative, office support and other business support activities",Administrative and support service activities
1183,Services related to combined office administrative service activities,82110,8211,821,"Office administrative, office support and other business support activities",Administrative and support service activities
1184,"Photocopying, duplicating and bluprinting services",82191,8219,821,"Office administrative, office support and other business support activities",Administrative and support service activities
1184,"Photocopying, duplicating and bluprinting services related business activity",82191,8219,821,"Office administrative, office support and other business support activities",Administrative and support service activities
1184,"Services related to photocopying, duplicating and bluprinting services",82191,8219,821,"Office administrative, office support and other business support activities",Administrative and support service activities
1185,"Document preparation, typing, word processing and desktop publishing sevices",82192,8219,821,"Office administrative, office support and other business support activities",Administrative and support service activities
1185,"Document preparation, typing, word and desktop publishing sevices related business activity",82192,8219,821,"Office administrative, office support and other business support activities",Administrative and support service activities
1185,"Services related to document preparation, typing, word and desktop publishing sevices",82192,8219,821,"Office administrative, office support and other business support activities",Administrative and support service activities
1186,Other specialised office support services activities,82199,8219,821,"Office administrative, office support and other business support activities",Administrative and support service activities
1186,Other specialised office support activities related business activity,82199,8219,821,"Office administrative, office support and other business support activities",Administrative and support service activities
1186,Services related to other specialised office support activities,82199,8219,821,"Office administrative, office support and other business support activities",Administrative and support service activities
1187,Activities of call centres,82200,8220,822,"Office administrative, office support and other business support activities",Administrative and support service activities
1187,Call centres related business activity,82200,8220,822,"Office administrative, office support and other business support activities",Administrative and support service activities
1187,Services related to call centres,82200,8220,822,"Office administrative, office support and other business support activities",Administrative and support service activities
1188,Organization of conventions and trade shows,82300,8230,823,"Office administrative, office support and other business support activities",Administrative and support service activities
1188,Organization conventions and trade shows related business activity,82300,8230,823,"Office administrative, office support and other business support activities",Administrative and support service activities
1188,Services related to organization conventions and trade shows,82300,8230,823,"Office administrative, office support and other business support activities",Administrative and support service activities
1189,Activities of collection agencies and credit bureaus,82910,8291,829,"Office administrative, office support and other business support activities",Administrative and support service activities
1189,Collection agencies and credit bureaus related business activity,82910,8291,829,"Office administrative, office support and other business support activities",Administrative and support service activities
1189,Services related to collection agencies and credit bureaus,82910,8291,829,"Office administrative, office support and other business support activities",Administrative and support service activities
1190,Packaging activities,82920,8292,829,"Office administrative, office support and other business support activities",Administrative and support service activities
1190,Packaging activities related business activity,82920,8292,829,"Office administrative, office support and other business support activities",Administrative and support service activities
1190,Services related to packaging activities,82920,8292,829,"Office administrative, office support and other business support activities",Administrative and support service activities
1191,Other business support service activities n.e.c.,82990,8299,829,"Office administrative, office support and other business support activities",Administrative and support service activities
1191,Other business support service n.e.c. related business activity,82990,8299,829,"Office administrative, office support and other business support activities",Administrative and support service activities
1191,Services related to other business support service n.e.c.,82990,8299,829,"Office administrative, office support and other business support activities",Administrative and support service activities
1192,General public service activities relating to executive,84111,8411,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1192,General public service relating to executive related business activity,84111,8411,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1192,Services related to general public service relating to executive,84111,8411,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1193,General public service activities relating to legislation,84112,8411,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1193,General public service relating to legislation related business activity,84112,8411,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1193,Services related to general public service relating to legislation,84112,8411,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1194,General public service activities n.e.c.,84119,8411,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1194,General public service n.e.c. related business activity,84119,8411,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1194,Services related to general public service n.e.c.,84119,8411,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1195,Regulatory agencies relating to health,84121,8412,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1195,Regulatory agencies relating to health related business activity,84121,8412,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1195,Services related to regulatory agencies relating to health,84121,8412,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1196,Regulatory agencies relating to education,84122,8412,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1196,Regulatory agencies relating to education related business activity,84122,8412,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1196,Services related to regulatory agencies relating to education,84122,8412,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1197,Regulatory agencies relating to other social services n.e.c. excluding social security,84129,8412,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1197,Regulatory agencies relating to other social n.e.c. excluding social security related business activity,84129,8412,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1197,Services related to regulatory agencies relating to other social n.e.c. excluding social security,84129,8412,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1198,Regulation of and contribution to more efficient operation of businesses,84130,8413,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1198,Regulation and contribution to more efficient operation businesses related business activity,84130,8413,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1198,Services related to regulation and contribution to more efficient operation businesses,84130,8413,841,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1199,Foreign affairs,84210,8421,842,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1199,Foreign affairs related business activity,84210,8421,842,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1199,Services related to foreign affairs,84210,8421,842,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1200,Defence activities,84220,8422,842,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1200,Defence activities related business activity,84220,8422,842,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1200,Services related to defence activities,84220,8422,842,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1201,Public order and safety activities,84230,8423,842,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1201,Public order and safety activities related business activity,84230,8423,842,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1201,Services related to public order and safety activities,84230,8423,842,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1202,Compulsory social security activities,84300,8430,843,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1202,Compulsory social security activities related business activity,84300,8430,843,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1202,Services related to compulsory social security activities,84300,8430,843,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
1203,Pre-primary education (education preceding the first level),85101,8510,851,Education,Education
1203,Pre-primary education (education preceding the first level) related business activity,85101,8510,851,Education,Education
1203,Services related to pre-primary education (education preceding the first level),85101,8510,851,Education,Education
1204,Primary education (education at the first level),85102,8510,851,Education,Education
1204,Primary education (education at the first level) related business activity,85102,8510,851,Education,Education
1204,Services related to primary education (education at the first level),85102,8510,851,Education,Education
1205,Provision of literacy programmes for adults at primary level,85103,8510,851,Education,Education
1205,Provision literacy programmes for adults at primary level related business activity,85103,8510,851,Education,Education
1205,Services related to provision literacy programmes for adults at primary level,85103,8510,851,Education,Education
1206,Special education for handicapped students at primary lavel,85104,8510,851,Education,Education
1206,Special education for handicapped students at primary lavel related business activity,85104,8510,851,Education,Education
1206,Services related to special education for handicapped students at primary lavel,85104,8510,851,Education,Education
1207,Other primary education activities n.e.c.,85109,8510,851,Education,Education
1207,Other primary education n.e.c. related business activity,85109,8510,851,Education,Education
1207,Services related to other primary education n.e.c.,85109,8510,851,Education,Education
1208,General school education in the first stage of the secondary level (up to X th standard) without any special subject pre-requisite,85211,8521,852,Education,Education
1208,General school education in the first stage the secondary level (up to x th standard) without any special subject pre-requisite related business activity,85211,8521,852,Education,Education
1208,Services related to general school education in the first stage the secondary level (up to x th standard) without any special subject pre-requisite,85211,8521,852,Education,Education
1209,"General school education in the second stage of the secondary level (Senior/ Higher secondary) giving, in principle, access to higher education",85212,8521,852,Education,Education
1209,"General school education in the second stage the secondary level (senior/ higher secondary) giving, in principle, access to higher education related business activity",85212,8521,852,Education,Education
1209,"Services related to general school education in the second stage the secondary level (senior/ higher secondary) giving, in principle, access to higher education",85212,8521,852,Education,Education
1210,Special education for handicapped students at first stage or second stage of secondary level,85213,8521,852,Education,Education
1210,Special education for handicapped students at first stage or second stage secondary level related business activity,85213,8521,852,Education,Education
1210,Services related to special education for handicapped students at first stage or second stage secondary level,85213,8521,852,Education,Education
1211,Technical and vocational education below the level of higher education except for handicapped,85221,85221,85221,Education,Education
1211,Technical and vocational education below the level higher education except for handicapped related business activity,85221,85221,85221,Education,Education
1211,Services related to technical and vocational education below the level higher education except for handicapped,85221,85221,85221,Education,Education
1212,Technical and vocational education for handicapped students below the level of higher education,85222,8522,852,Education,Education
1212,Technical and vocational education for handicapped students below the level higher education related business activity,85222,8522,852,Education,Education
1212,Services related to technical and vocational education for handicapped students below the level higher education,85222,8522,852,Education,Education
1213,Professional motor driving school,85223,8522,852,Education,Education
1213,Professional motor driving school related business activity,85223,8522,852,Education,Education
1213,Services related to professional motor driving school,85223,8522,852,Education,Education
1214,"Higher education in science, commerce, humanity and fine arts leading to a university degree or equivalent",85301,8530,853,Education,Education
1214,"Higher education in science, commerce, humanity and fine arts leading to a university degree or equivalent related business activity",85301,8530,853,Education,Education
1214,"Services related to higher education in science, commerce, humanity and fine arts leading to a university degree or equivalent",85301,8530,853,Education,Education
1215,Higher education in engineering / other technical courses leading to a university degree or equivalent,85302,8530,853,Education,Education
1215,Higher education in engineering / other technical courses leading to a university degree or equivalent related business activity,85302,8530,853,Education,Education
1215,Services related to higher education in engineering / other technical courses leading to a university degree or equivalent,85302,8530,853,Education,Education
1216,Higher education in medical/bio-technology and related courses leading to a university degree or equivalent,85303,8530,853,Education,Education
1216,Higher education in medical/bio-technology and related courses leading to a university degree or equivalent related business activity,85303,8530,853,Education,Education
1216,Services related to higher education in medical/bio-technology and related courses leading to a university degree or equivalent,85303,8530,853,Education,Education
1217,Higher education in management courses leading to a degree or equivalent,85304,8530,853,Education,Education
1217,Higher education in management courses leading to a degree or equivalent related business activity,85304,8530,853,Education,Education
1217,Services related to higher education in management courses leading to a degree or equivalent,85304,8530,853,Education,Education
1218,Higher education in law leading to a degree or equivalent,85305,8530,853,Education,Education
1218,Higher education in law leading to a degree or equivalent related business activity,85305,8530,853,Education,Education
1218,Services related to higher education in law leading to a degree or equivalent,85305,8530,853,Education,Education
1219,Higher education in other professional/ vocational courses leading to a degree or equivalent,85306,8530,853,Education,Education
1219,Higher education in other professional/ vocational courses leading to a degree or equivalent related business activity,85306,8530,853,Education,Education
1219,Services related to higher education in other professional/ vocational courses leading to a degree or equivalent,85306,8530,853,Education,Education
1220,Higher education not leading to a degree or equivalent,85307,8530,853,Education,Education
1220,Higher education not leading to a degree or equivalent related business activity,85307,8530,853,Education,Education
1220,Services related to higher education not leading to a degree or equivalent,85307,8530,853,Education,Education
1221,Sports and recreation education,85410,8541,854,Education,Education
1221,Sports and recreation education related business activity,85410,8541,854,Education,Education
1221,Services related to sports and recreation education,85410,8541,854,Education,Education
1222,Cultural education,85420,8542,854,Education,Education
1222,Cultural education related business activity,85420,8542,854,Education,Education
1222,Services related to cultural education,85420,8542,854,Education,Education
1223,Academic tutoring services,85491,8549,854,Education,Education
1223,Academic tutoring services related business activity,85491,8549,854,Education,Education
1223,Services related to academic tutoring services,85491,8549,854,Education,Education
1224,Professional examination review courses,85492,8549,854,Education,Education
1224,Professional examination review courses related business activity,85492,8549,854,Education,Education
1224,Services related to professional examination review courses,85492,8549,854,Education,Education
1225,Flying school,85493,8549,854,Education,Education
1225,Flying school related business activity,85493,8549,854,Education,Education
1225,Services related to flying school,85493,8549,854,Education,Education
1226,Motor driving school (non-professional),85494,8549,854,Education,Education
1226,Motor driving school (non-professional) related business activity,85494,8549,854,Education,Education
1226,Services related to motor driving school (non-professional),85494,8549,854,Education,Education
1227,Other educational services n.e.c.,85499,8549,854,Education,Education
1227,Other educational n.e.c. related business activity,85499,8549,854,Education,Education
1227,Services related to other educational n.e.c.,85499,8549,854,Education,Education
1228,Educational support services,85500,8550,855,Education,Education
1228,Educational support services related business activity,85500,8550,855,Education,Education
1228,Services related to educational support services,85500,8550,855,Education,Education
1229,Hospital activities,86100,8610,861,Human health activities,Human health and social work activities
1229,Hospital activities related business activity,86100,8610,861,Human health activities,Human health and social work activities
1229,Services related to hospital activities,86100,8610,861,Human health activities,Human health and social work activities
1230,Medical practice activities,86201,8620,862,Human health activities,Human health and social work activities
1230,Medical practice activities related business activity,86201,8620,862,Human health activities,Human health and social work activities
1230,Services related to medical practice activities,86201,8620,862,Human health activities,Human health and social work activities
1231,Dental practice activities,86202,8620,862,Human health activities,Human health and social work activities
1231,Dental practice activities related business activity,86202,8620,862,Human health activities,Human health and social work activities
1231,Services related to dental practice activities,86202,8620,862,Human health activities,Human health and social work activities
1232,Activities of Ayurveda practitioners,86901,8690,869,Human health activities,Human health and social work activities
1232,Ayurveda practitioners related business activity,86901,8690,869,Human health activities,Human health and social work activities
1232,Services related to ayurveda practitioners,86901,8690,869,Human health activities,Human health and social work activities
1233,Activities of Unani practitioners,86902,8690,869,Human health activities,Human health and social work activities
1233,Unani practitioners related business activity,86902,8690,869,Human health activities,Human health and social work activities
1233,Services related to unani practitioners,86902,8690,869,Human health activities,Human health and social work activities
1234,Activities of homeopaths,86903,8690,869,Human health activities,Human health and social work activities
1234,Homeopaths related business activity,86903,8690,869,Human health activities,Human health and social work activities
1234,Services related to homeopaths,86903,8690,869,Human health activities,Human health and social work activities
1235,"Activities of nurses, masseures, physiotherapists or other para-medical practitioners",86904,8690,869,Human health activities,Human health and social work activities
1235,"Nurses, masseures, physiotherapists or other para-medical practitioners related business activity",86904,8690,869,Human health activities,Human health and social work activities
1235,"Services related to nurses, masseures, physiotherapists or other para-medical practitioners",86904,8690,869,Human health activities,Human health and social work activities
1236,Activities of independent diagnostic/pathological laboratories,86905,8690,869,Human health activities,Human health and social work activities
1236,Independent diagnostic/pathological laboratories related business activity,86905,8690,869,Human health activities,Human health and social work activities
1236,Services related to independent diagnostic/pathological laboratories,86905,8690,869,Human health activities,Human health and social work activities
1237,Activities of independent blood banks,86906,8690,869,Human health activities,Human health and social work activities
1237,Independent blood banks related business activity,86906,8690,869,Human health activities,Human health and social work activities
1237,Services related to independent blood banks,86906,8690,869,Human health activities,Human health and social work activities
1238,Other human health activities n.e.c. (including independent ambulance activities),86909,8690,869,Human health activities,Human health and social work activities
1238,Other human health n.e.c. (including independent ambulance activities) related business activity,86909,8690,869,Human health activities,Human health and social work activities
1238,Services related to other human health n.e.c. (including independent ambulance activities),86909,8690,869,Human health activities,Human health and social work activities
1239,Nursing care facilities,87100,8710,871,Residential care activities,Human health and social work activities
1239,Nursing care facilities related business activity,87100,8710,871,Residential care activities,Human health and social work activities
1239,Services related to nursing care facilities,87100,8710,871,Residential care activities,Human health and social work activities
1240,"Residential care activities for mental retardation, mental health and substance abuse",87200,8720,872,Residential care activities,Human health and social work activities
1240,"Residential care for mental retardation, mental health and substance abuse related business activity",87200,8720,872,Residential care activities,Human health and social work activities
1240,"Services related to residential care for mental retardation, mental health and substance abuse",87200,8720,872,Residential care activities,Human health and social work activities
1241,Residential care activities for the elderly and disabled,87300,8730,873,Residential care activities,Human health and social work activities
1241,Residential care for the elderly and disabled related business activity,87300,8730,873,Residential care activities,Human health and social work activities
1241,Services related to residential care for the elderly and disabled,87300,8730,873,Residential care activities,Human health and social work activities
1242,Other residential care activities n.e.c.,87900,8790,879,Residential care activities,Human health and social work activities
1242,Other residential care n.e.c. related business activity,87900,8790,879,Residential care activities,Human health and social work activities
1242,Services related to other residential care n.e.c.,87900,8790,879,Residential care activities,Human health and social work activities
1243,Social work activities without accommodation for the elderly and disabled,88100,8810,881,Social work activities without accommodation,Human health and social work activities
1243,Social work without accommodation for the elderly and disabled related business activity,88100,8810,881,Social work activities without accommodation,Human health and social work activities
1243,Services related to social work without accommodation for the elderly and disabled,88100,8810,881,Social work activities without accommodation,Human health and social work activities
1244,Other social work activities without accommodation n.e.c.,88900,8890,889,Social work activities without accommodation,Human health and social work activities
1244,Other social work without accommodation n.e.c. related business activity,88900,8890,889,Social work activities without accommodation,Human health and social work activities
1244,Services related to other social work without accommodation n.e.c.,88900,8890,889,Social work activities without accommodation,Human health and social work activities
1245,Stage production and related activities,90001,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1245,Stage and related activities related business activity,90001,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1245,Services related to stage and related activities,90001,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1246,Operation of concert and theatre halls and other arts facilities,90002,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1246,Operation concert and theatre halls and other arts facilities related business activity,90002,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1246,Services related to operation concert and theatre halls and other arts facilities,90002,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1247,"Activities of sculptors, painters, cartoonists, engravers, etchers etc.",90003,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1247,"Sculptors, painters, cartoonists, engravers, etchers etc. related business activity",90003,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1247,"Services related to sculptors, painters, cartoonists, engravers, etchers etc.",90003,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1248,"Activities of individual writers, for all subjects including fictional writing, technical writing etc.",90004,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1248,"Individual writers, for all subjects including fictional writing, technical writing etc. related business activity",90004,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1248,"Services related to individual writers, for all subjects including fictional writing, technical writing etc.",90004,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1249,Activities of independent journalists,90005,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1249,Independent journalists related business activity,90005,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1249,Services related to independent journalists,90005,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1250,Activities of restoring of works of art such as paintings etc.,90006,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1250,Restoring works art such as paintings etc. related business activity,90006,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1250,Services related to restoring works art such as paintings etc.,90006,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1251,Other creative arts and and entertainment activities,90009,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1251,Other creative arts and and entertainment activities related business activity,90009,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1251,Services related to other creative arts and and entertainment activities,90009,9000,900,"Creative, arts and entertainment activities","Arts, entertainment and recreation"
1252,Library and archives activities,91010,9101,910,"Libraries, archives, museums and other cultural activities","Arts, entertainment and recreation"
1252,Library and archives activities related business activity,91010,9101,910,"Libraries, archives, museums and other cultural activities","Arts, entertainment and recreation"
1252,Services related to library and archives activities,91010,9101,910,"Libraries, archives, museums and other cultural activities","Arts, entertainment and recreation"
1253,Museums activities and operation of historical sites and buildings,91020,9102,910,"Libraries, archives, museums and other cultural activities","Arts, entertainment and recreation"
1253,Museums and operation historical sites and buildings related business activity,91020,9102,910,"Libraries, archives, museums and other cultural activities","Arts, entertainment and recreation"
1253,Services related to museums and operation historical sites and buildings,91020,9102,910,"Libraries, archives, museums and other cultural activities","Arts, entertainment and recreation"
1254,Botanical and zoological gardens and nature reserves activities,91030,9103,910,"Libraries, archives, museums and other cultural activities","Arts, entertainment and recreation"
1254,Botanical and zoological gardens and nature reserves activities related business activity,91030,9103,910,"Libraries, archives, museums and other cultural activities","Arts, entertainment and recreation"
1254,Services related to botanical and zoological gardens and nature reserves activities,91030,9103,910,"Libraries, archives, museums and other cultural activities","Arts, entertainment and recreation"
1255,Wholesale of lottery tickets,92001,9200,920,Gambling and betting activities,"Arts, entertainment and recreation"
1255,Lottery tickets related business activity,92001,9200,920,Gambling and betting activities,"Arts, entertainment and recreation"
1255,Services related to lottery tickets,92001,9200,920,Gambling and betting activities,"Arts, entertainment and recreation"
1256,Retail sale of lottery tickets,92002,9200,920,Gambling and betting activities,"Arts, entertainment and recreation"
1256,Sale lottery tickets related business activity,92002,9200,920,Gambling and betting activities,"Arts, entertainment and recreation"
1256,Services related to sale lottery tickets,92002,9200,920,Gambling and betting activities,"Arts, entertainment and recreation"
1257,Other gambling and betting activities,92009,9200,920,Gambling and betting activities,"Arts, entertainment and recreation"
1257,Other gambling and betting activities related business activity,92009,9200,920,Gambling and betting activities,"Arts, entertainment and recreation"
1257,Services related to other gambling and betting activities,92009,9200,920,Gambling and betting activities,"Arts, entertainment and recreation"
1258,Operation of sports facilities,93110,9311,931,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation"
1258,Operation sports facilities related business activity,93110,9311,931,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation"
1258,Services related to operation sports facilities,93110,9311,931,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation"
1259,Activities of sports clubs,93120,9312,931,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation"
1259,Sports clubs related business activity,93120,9312,931,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation"
1259,Services related to sports clubs,93120,9312,931,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation"
1260,Other sports activities,93190,9319,931,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation"
1260,Other sports activities related business activity,93190,9319,931,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation"
1260,Services related to other sports activities,93190,9319,931,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation"
1261,Activities of amusement parks and theme parks,93210,9321,932,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation"
1261,Amusement parks and theme parks related business activity,93210,9321,932,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation"
